Country Name,Series Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Mexico,GDP (constant 2015 US$),8.76E+11,8.73E+11,8.73E+11,8.85E+11,9.20E+11,9.41E+11,9.83E+11,1.01E+12,1.02E+12,9.64E+11,1.01E+12,1.05E+12,1.09E+12,1.10E+12,1.13E+12,1.17E+12,1.20E+12,1.23E+12,1.26E+12,1.25E+12,1.15E+12
Mexico,General government final consumption expenditure (constant 2015 US$),1.15E+11,1.12E+11,1.13E+11,1.12E+11,1.11E+11,1.14E+11,1.17E+11,1.19E+11,1.22E+11,1.26E+11,1.29E+11,1.33E+11,1.37E+11,1.38E+11,1.42E+11,1.44E+11,1.48E+11,1.49E+11,1.53E+11,1.51E+11,1.51E+11
Mexico,Exports of goods and services (constant 2015 US$),2.13E+11,2.11E+11,2.12E+11,2.16E+11,2.38E+11,2.53E+11,2.72E+11,2.78E+11,2.75E+11,2.45E+11,3.00E+11,3.23E+11,3.44E+11,3.49E+11,3.73E+11,4.05E+11,4.19E+11,4.37E+11,4.63E+11,4.70E+11,4.35E+11
Mexico,Imports of goods and services (constant 2015 US$),2.51E+11,2.49E+11,2.52E+11,2.59E+11,2.75E+11,2.90E+11,3.15E+11,3.31E+11,3.41E+11,2.87E+11,3.36E+11,3.55E+11,3.74E+11,3.82E+11,4.05E+11,4.28E+11,4.41E+11,4.69E+11,4.99E+11,4.95E+11,4.27E+11
Mexico,Population,97873442,99394288,100917081,102429341,103945813,105442402,106886790,108302973,109684489,111049428,112532401,114150481,115755909,117290686,118755887,120149897,121519221,122839258,124013861,125085311,125998302
