Country Name,Series Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Mexico,GDP (constant 2015 US$),8.76438E+11,8.72893E+11,8.72545E+11,8.85166E+11,9.1987E+11,9.41098E+11,9.83401E+11,1.00594E+12,1.01744E+12,9.6366E+11,1.01298E+12,1.05009E+12,1.08833E+12,1.10307E+12,1.13451E+12,1.17187E+12,1.20269E+12,1.22811E+12,1.25507E+12,1.25273E+12,1.15042E+12
Mexico,General government final consumption expenditure (constant 2015 US$),1.15263E+11,1.12118E+11,1.12504E+11,1.12329E+11,1.11238E+11,1.13748E+11,1.16828E+11,1.18957E+11,1.22438E+11,1.26037E+11,1.28915E+11,1.32828E+11,1.37295E+11,1.3804E+11,1.41647E+11,1.44341E+11,1.48091E+11,1.49077E+11,1.53335E+11,1.50604E+11,1.5072E+11
Mexico,Exports of goods and services (constant 2015 US$),2.1252E+11,2.11412E+11,2.12249E+11,2.16296E+11,2.37645E+11,2.52651E+11,2.72387E+11,2.77764E+11,2.74938E+11,2.45094E+11,2.99903E+11,3.23035E+11,3.44112E+11,3.48828E+11,3.73185E+11,4.04586E+11,4.1908E+11,4.36522E+11,4.62729E+11,4.69527E+11,4.35288E+11
Mexico,Imports of goods and services (constant 2015 US$),2.51344E+11,2.4923E+11,2.5224E+11,2.58573E+11,2.75337E+11,2.90147E+11,3.15348E+11,3.30568E+11,3.41416E+11,2.86964E+11,3.35906E+11,3.54777E+11,3.73994E+11,3.81916E+11,4.04529E+11,4.28484E+11,4.4071E+11,4.68741E+11,4.9888E+11,4.95247E+11,4.27225E+11
